x1,y1,x2,y2
607.8450927734375, 439.790771484375, 775.489501953125, 639.3529052734375
610.720703125, 450.634765625, 772.51171875, 650.8604736328125
613.436279296875, 454.9573059082031, 772.2122802734375, 652.71484375
613.436279296875, 454.9573059082031, 772.2122802734375, 652.71484375
614.4832153320312, 462.5557861328125, 769.750732421875, 657.8028564453125
613.5667114257812, 467.6595153808594, 767.5275268554688, 661.122314453125
607.3992309570312, 482.3190002441406, 758.1116333007812, 672.0826416015625
603.38818359375, 488.72161865234375, 753.91064453125, 674.7701416015625
603.38818359375, 488.72161865234375, 753.91064453125, 674.7701416015625
604.5789794921875, 495.17303466796875, 755.1973876953125, 676.7952880859375
607.6004638671875, 497.199462890625, 758.4227294921875, 675.9615478515625
607.6004638671875, 497.199462890625, 758.4227294921875, 675.9615478515625
